month,Urea_price,Dap_price
2015-01-01,305.0,440.25
2015-02-01,305.0,444.13
2015-03-01,295.5,428.8
2015-04-01,260.0,409.0
2015-05-01,265.0,413.56
2015-06-01,288.75,421.38
2015-07-01,283.75,431.5
2015-08-01,274.63,434.63
2015-09-01,279.38,428.0
2015-10-01,250.63,423.75
2015-11-01,263.63,383.88
2015-12-01,264.0,340.63
2016-01-01,233.88,327.13
2016-02-01,191.88,326.0
2016-03-01,201.75,338.13
2016-04-01,196.25,330.5
2016-05-01,198.38,313.5
2016-06-01,142.63,306.63
2016-07-01,181.0,305.2
2016-08-01,186.25,318.06
2016-09-01,187.3,320.0
2016-10-01,187.5,310.0
2016-11-01,205.0,298.0
2016-12-01,217.75,296.63
2017-01-01,233.75,308.0
2017-02-01,191.88,326.0
2017-03-01,223.5,325.63
2017-04-01,207.88,313.13
2017-05-01,178.75,309.25
2017-06-01,191.0,310.3
2017-07-01,181.0,313.75
2017-08-01,192.63,320.75
2017-09-01,219.0,325.9
2017-10-01,252.5,322.38
2017-11-01,280.0,344.0
2017-12-01,214.63,357.25
2018-01-01,219.63,360.38
2018-02-01,232.5,370.0
2018-03-01,232.5,378.0
2018-04-01,230.63,384.75
2018-05-01,221.88,384.38
2018-06-01,224.0,391.6
2018-07-01,252.5,400.75
2018-08-01,260.0,409.0
2018-09-01,267.5,421.63
2018-10-01,270.0,420.75
2018-11-01,305.6,410.2
2018-12-01,276.67,389.67
2019-01-01,260.0,382.13
2019-02-01,250.63,357.38
2019-03-01,247.5,335.03
2019-04-01,247.5,323.75
2019-05-01,247.5,313.4
2019-06-01,247.5,314.88
2019-07-01,263.5,307.5
2019-08-01,262.5,292.9
2019-09-01,237.75,285.75
2019-10-01,237.0,277.38
2019-11-01,224.5,248.0
2019-12-01,217.5,238.16
2020-01-01,215.4,264.9
2020-02-01,214.38,279.38
2020-03-01,231.13,276.22
2020-04-01,235.0,282.0
2020-05-01,201.9,263.0
2020-06-01,202.0,273.0
2020-07-01,214.4,305.1
2020-08-01,249.5,341.88
2020-09-01,250.5,358.38
2020-10-01,245.0,357.1
2020-11-01,245.0,359.63
2020-12-01,245.0,388.5
2021-01-01,265.0,421.3
2021-02-01,335.0,528.88
2021-03-01,352.88,534.13
2021-04-01,328.1,543.4
2021-05-01,331.63,574.63
2021-06-01,393.25,604.75
2021-07-01,441.5,613.0
2021-08-01,446.88,603.13
2021-09-01,418.75,643.75
2021-10-01,695.0,672.9
2021-11-01,900.5,726.69
2021-12-01,890.0,745.0
2022-01-01,846.38,699.38
2022-02-01,744.17,747.13
2022-03-01,872.5,938.13
2022-04-01,925.0,954.0
2022-05-01,707.5,842.5
2022-06-01,690.0,783.75
2022-07-01,601.0,784.0
2022-08-01,591.25,749.38
2022-09-01,678.0,752.0
2022-10-01,636.25,725.0
2022-11-01,588.75,665.63
2022-12-01,519.38,625.0
2023-01-01,443.75,631.0
2023-02-01,357.5,612.5
2023-03-01,313.5,606.0
2023-04-01,313.38,637.0
2023-05-01,329.25,510.0
2023-06-01,287.5,454.55
2023-07-01,334.63,458.75
2023-08-01,385.63,528.75
2023-09-01,380.0,527.9
2023-10-01,411.38,534.75
2023-11-01,385.5,535.63
2023-12-01,354.0,563.75
2024-01-01,335.38,596.25
2024-02-01,351.25,583.81
2024-03-01,330.0,617.5
2024-04-01,320.0,545.0
2024-05-01,284.8,522.0
2024-06-01,336.25,543.0
2024-07-01,342.5,539.4
2024-08-01,342.5,546.0
2024-09-01,337.5,554.75
2024-10-01,374.75,573.44
2024-11-01,352.3,574.5
