Date,ALLSKY_SFC_UV_INDEX,ALLSKY_SFC_SW_DWN,WS2M,CLRSKY_SFC_SW_DWN,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,PS,CLRSKY_SFC_PAR_TOT,WS10M_MAX,WS10M_MIN,ALLSKY_KT,T2M_RANGE,WS10M,TS,Coffee_Price,Coffee_Return
2015-01-01,3.45,8.33,1.51,8.59,25.47,31.47,19.6,68.06,0.42,90.8,3.95,4.13,1.42,0.72,11.87,2.38,25.89,161.0500030517578,0.0
2015-01-02,3.17,7.65,1.28,8.49,24.82,29.55,20.87,73.18,1.24,90.83,3.92,2.86,0.3,0.66,8.68,1.98,24.98,161.0500030517578,0.0
2015-01-03,2.75,6.54,1.99,8.44,23.71,27.51,20.92,82.75,4.37,90.81,3.9,4.08,2.25,0.57,6.59,3.09,23.65,,
2015-01-04,2.96,7.2,1.7,8.42,23.44,27.93,20.36,77.99,4.6,90.9,3.89,4.73,1.12,0.62,7.57,2.65,23.87,,
2015-01-05,2.96,7.08,2.18,8.46,23.49,29.22,19.13,74.85,1.73,90.9,3.91,5.65,1.24,0.61,10.09,3.29,23.64,168.10000610351562,0.0438
2015-01-06,3.03,7.23,2.06,8.53,23.41,29.27,18.47,74.74,1.41,90.99,3.91,5.07,1.76,0.62,10.8,3.07,23.97,174.89999389648438,0.0405
2015-01-07,2.84,6.89,2.63,8.47,23.23,28.98,17.99,70.98,0.1,90.97,3.85,6.53,2.09,0.6,10.99,3.94,23.92,175.0500030517578,0.0009
2015-01-08,2.98,7.71,2.15,8.57,23.66,30.55,17.07,66.62,0.02,90.93,3.91,5.45,2.01,0.67,13.48,3.28,24.54,176.89999389648438,0.0106
2015-01-09,3.33,8.41,2.0,8.7,23.95,31.84,15.71,60.29,0.0,90.93,3.95,6.28,1.49,0.73,16.13,3.12,24.81,180.0500030517578,0.0178
2015-01-10,3.1,7.72,1.67,8.54,25.1,32.93,17.47,57.87,0.0,90.91,3.9,3.97,1.48,0.67,15.46,2.64,25.99,,
2015-01-11,3.21,8.35,1.82,8.57,26.13,34.5,17.75,53.14,0.0,90.86,3.91,4.18,1.23,0.72,16.75,2.8,26.9,,
2015-01-12,3.22,8.39,2.42,8.62,25.95,34.92,17.46,51.94,0.11,90.85,3.94,6.01,1.6,0.73,17.46,3.77,26.7,176.75,-0.0183
2015-01-13,3.25,8.21,2.29,8.59,26.37,34.86,17.74,52.57,0.53,90.76,3.93,5.81,1.5,0.71,17.12,3.53,27.05,176.9499969482422,0.0011
