Date,ALLSKY_SFC_UV_INDEX,ALLSKY_SFC_SW_DWN,WS2M,CLRSKY_SFC_SW_DWN,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,PS,CLRSKY_SFC_PAR_TOT,WS10M_MAX,WS10M_MIN,ALLSKY_KT,T2M_RANGE,WS10M,TS,Coffee_Price,Coffee_Return
2015-01-01,2.62,5.69,0.28,6.9,15.37,20.59,11.76,86.61,0.1,78.88,3.14,1.61,0.68,0.62,8.83,1.24,15.33,161.0500030517578,0.0
2015-01-02,2.74,6.31,0.46,6.9,15.16,20.45,11.23,81.29,0.03,78.89,3.11,2.66,1.1,0.68,9.22,1.85,15.25,161.0500030517578,0.0
2015-01-03,2.9,6.85,0.41,6.99,15.32,20.83,10.83,80.73,0.23,78.91,3.15,2.56,0.88,0.74,10.0,1.74,15.45,,
2015-01-04,2.68,6.28,0.38,6.87,15.54,20.9,10.87,81.07,0.65,78.96,3.12,2.61,0.82,0.68,10.03,1.57,15.63,,
2015-01-05,2.61,6.04,0.33,6.88,15.62,20.99,11.28,80.98,1.04,78.97,3.1,1.89,0.81,0.65,9.71,1.37,15.78,168.10000610351562,0.0438
2015-01-06,2.86,6.9,0.43,7.1,14.82,20.07,11.06,76.18,0.27,78.91,3.18,2.6,1.0,0.74,9.01,1.68,14.82,174.89999389648438,0.0405
2015-01-07,2.76,6.78,0.49,7.04,13.91,20.15,8.24,75.66,0.01,78.79,3.18,2.66,0.86,0.73,11.91,1.69,13.65,175.0500030517578,0.0009
2015-01-08,2.11,4.81,0.38,6.47,14.69,20.84,8.71,80.67,0.01,78.81,2.92,1.8,0.45,0.52,12.13,1.35,14.41,176.89999389648438,0.0106
2015-01-09,2.08,4.42,0.24,6.56,15.99,21.26,11.72,83.69,0.0,78.85,2.99,1.87,0.62,0.47,9.54,1.27,16.23,180.0500030517578,0.0178
2015-01-10,2.63,5.84,0.2,6.71,16.06,20.88,12.31,81.97,0.59,78.96,3.06,1.56,0.63,0.63,8.57,1.14,16.2,,
2015-01-11,2.56,5.81,0.22,6.76,16.69,21.73,12.85,84.31,0.39,78.92,3.1,1.81,0.37,0.62,8.88,1.14,16.92,,
2015-01-12,2.55,5.64,0.3,6.71,16.95,21.86,13.38,82.0,0.28,78.89,3.07,1.99,0.57,0.6,8.48,1.22,17.05,176.75,-0.0183
2015-01-13,2.3,3.87,0.35,6.81,16.68,22.22,12.49,83.67,0.3,78.88,3.13,1.25,0.47,0.41,9.73,0.97,16.8,176.9499969482422,0.0011
2015-01-14,2.42,4.46,0.2,6.8,16.61,21.4,13.56,88.26,2.82,78.87,3.11,1.23,0.37,0.47,7.84,0.82,16.76,179.85000610351562,0.0164
2015-01-15,2.56,4.7,0.38,6.75,15.81,20.6,13.03,89.65,3.87,78.94,3.1,1.91,0.57,0.5,7.57,1.15,15.75,176.64999389648438,-0.0178
2015-01-16,2.33,4.06,0.35,6.72,15.61,20.46,12.13,90.04,3.29,78.98,3.1,1.42,0.25,0.43,8.33,0.88,15.34,171.0,-0.032
2015-01-17,2.25,3.96,0.3,6.83,15.62,19.23,12.33,90.1,12.37,78.96,3.14,1.22,0.4,0.42,6.9,0.81,15.55,,
2015-01-18,2.3,4.46,0.28,6.73,16.21,20.61,13.32,87.15,2.4,79.0,3.08,0.95,0.17,0.47,7.29,0.67,16.26,,
2015-01-19,2.33,4.2,0.34,6.84,15.3,18.94,13.41,91.61,4.64,78.92,3.14,1.29,0.13,0.44,5.53,0.92,15.2,171.0,0.0
2015-01-20,2.21,4.01,0.28,6.63,15.46,19.83,12.83,88.66,4.88,78.85,3.06,1.07,0.2,0.42,7.0,0.61,15.39,164.3000030517578,-0.0392
2015-01-21,2.4,4.35,0.24,6.81,15.54,19.01,13.34,91.13,8.54,78.88,3.13,0.86,0.08,0.46,5.67,0.47,15.58,161.25,-0.0186
2015-01-22,2.04,3.57,0.3,6.82,15.38,19.58,12.7,90.97,7.76,78.97,3.13,1.24,0.32,0.37,6.88,0.94,15.44,159.9499969482422,-0.0081
2015-01-23,2.1,4.0,0.28,6.72,15.02,20.0,11.93,89.75,6.3,78.95,3.08,1.58,0.09,0.42,8.07,0.85,15.2,162.4499969482422,0.0156
2015-01-24,2.19,4.38,0.37,6.69,15.71,20.27,12.87,87.47,7.13,78.91,3.05,1.19,0.2,0.46,7.4,0.85,15.51,,
2015-01-25,2.1,4.19,0.23,6.83,16.23,21.41,12.57,85.56,0.1,78.82,3.13,1.23,0.04,0.44,8.84,0.75,16.37,,
2015-01-26,2.58,5.3,0.26,6.88,16.71,21.86,12.68,86.03,0.1,78.81,3.13,1.16,0.24,0.55,9.18,0.79,16.81,161.85000610351562,-0.0037
2015-01-27,1.81,2.97,0.37,6.82,15.89,18.76,13.34,90.86,0.58,78.85,3.11,1.29,0.28,0.31,5.42,0.79,15.8,168.1999969482422,0.0392
2015-01-28,2.24,4.74,0.33,6.87,16.38,22.23,12.42,83.58,0.06,78.82,3.13,1.26,0.09,0.49,9.81,0.79,15.96,167.6999969482422,-0.003
2015-01-29,2.48,5.23,0.29,6.81,15.89,21.34,11.37,84.28,0.08,78.77,3.09,2.19,0.53,0.54,9.97,1.33,16.08,160.0,-0.0459
2015-01-30,2.15,4.29,0.25,6.76,16.39,20.71,12.77,86.27,2.77,78.81,3.05,1.94,0.24,0.44,7.94,1.02,16.52,161.89999389648438,0.0119
2015-01-31,2.17,4.4,0.12,6.67,15.45,18.02,13.62,95.0,13.68,78.84,3.05,1.02,0.29,0.45,4.4,0.68,15.48,,
2015-02-01,2.74,5.52,0.25,6.82,15.97,20.28,13.23,87.77,2.75,78.9,3.13,2.01,0.48,0.57,7.05,1.16,16.05,,
2015-02-02,2.52,4.87,0.24,7.05,16.21,21.76,11.42,83.96,0.52,78.91,3.23,1.93,0.43,0.5,10.34,1.19,16.42,162.4499969482422,0.0034
2015-02-03,2.44,4.68,0.23,7.02,16.69,21.57,13.08,83.84,0.44,78.88,3.23,2.2,0.64,0.48,8.49,1.23,16.89,160.75,-0.0105
2015-02-04,2.81,5.56,0.27,7.08,16.6,21.36,12.25,83.06,0.59,78.81,3.26,1.95,0.49,0.57,9.11,1.13,16.75,164.89999389648438,0.0258
2015-02-05,1.79,3.15,0.33,7.03,16.44,20.5,13.91,87.0,3.49,78.81,3.26,1.62,0.67,0.32,6.59,1.06,16.41,164.75,-0.0009
2015-02-06,1.44,2.56,0.27,7.01,15.65,18.79,13.54,93.9,19.39,78.82,3.22,1.07,0.06,0.26,5.25,0.68,15.69,166.85000610351562,0.0127
2015-02-07,1.64,3.08,0.38,6.85,15.38,18.61,12.69,92.84,13.16,78.84,3.12,1.22,0.17,0.31,5.92,0.75,15.21,,
2015-02-08,1.74,3.22,0.49,7.08,15.52,19.21,12.86,91.34,25.07,78.9,3.26,1.72,0.38,0.33,6.35,1.08,15.56,,
2015-02-09,1.85,3.54,0.42,6.98,15.39,20.17,12.37,89.56,8.24,78.96,3.18,2.02,0.7,0.36,7.8,1.29,15.68,167.60000610351562,0.0045
2015-02-10,1.96,3.82,0.26,6.93,15.44,20.27,11.92,88.95,7.75,78.89,3.15,1.05,0.04,0.38,8.35,0.68,15.7,159.39999389648438,-0.0489
2015-02-11,1.9,4.08,0.2,6.82,15.65,18.86,13.36,91.22,3.12,78.91,3.08,1.03,0.21,0.41,5.5,0.58,15.67,159.4499969482422,0.0003
2015-02-12,2.34,4.83,0.23,6.94,16.16,20.71,12.8,90.03,3.58,78.97,3.16,1.02,0.35,0.49,7.91,0.73,16.05,164.5500030517578,0.032
2015-02-13,2.22,4.46,0.24,7.0,16.29,19.9,13.89,90.24,2.7,78.98,3.19,1.9,0.46,0.45,6.01,1.15,16.33,163.1999969482422,-0.0082
2015-02-14,2.17,4.58,0.25,6.86,16.35,20.39,13.44,88.24,0.13,78.97,3.11,2.16,0.33,0.46,6.95,1.2,16.41,,
2015-02-15,2.34,5.1,0.23,6.97,16.75,21.85,12.84,87.32,2.8,78.92,3.16,1.37,0.22,0.51,9.01,0.97,16.88,,
2015-02-16,2.59,5.44,0.28,7.24,17.13,22.22,13.52,85.85,1.29,78.89,3.3,1.39,0.18,0.54,8.7,0.98,17.11,163.1999969482422,0.0
2015-02-17,2.77,6.12,0.33,7.41,17.39,23.19,12.56,82.48,7.96,78.93,3.34,1.38,0.13,0.61,10.63,0.88,17.05,155.64999389648438,-0.0463
2015-02-18,2.3,4.72,0.52,7.26,17.41,23.45,12.73,84.12,5.73,78.97,3.3,1.85,0.27,0.47,10.72,0.98,17.18,152.8000030517578,-0.0183
2015-02-19,2.18,4.48,0.46,7.09,16.52,20.45,14.31,89.22,1.68,78.9,3.22,1.79,0.4,0.44,6.14,1.13,16.65,149.1999969482422,-0.0236
