Date,ALLSKY_SFC_UV_INDEX,ALLSKY_SFC_SW_DWN,WS2M,CLRSKY_SFC_SW_DWN,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,PS,CLRSKY_SFC_PAR_TOT,WS10M_MAX,WS10M_MIN,ALLSKY_KT,T2M_RANGE,WS10M,TS,Coffee_Price,Coffee_Return
2015-01-01,2.2,6.42,0.84,6.56,15.51,22.4,8.41,54.36,0.0,80.93,2.81,2.42,0.25,0.72,13.99,1.54,13.44,161.0500030517578,0.0
2015-01-02,2.4,6.9,0.83,6.91,15.06,22.75,7.39,49.97,0.0,80.94,2.96,2.39,0.04,0.77,15.36,1.51,12.63,161.0500030517578,0.0
2015-01-03,2.43,6.85,0.83,6.91,15.16,22.49,8.19,48.52,0.0,80.96,2.98,2.28,0.53,0.76,14.3,1.49,12.82,,
2015-01-04,2.1,6.02,0.8,6.66,15.37,22.46,8.12,58.16,0.0,80.93,2.88,2.41,0.37,0.67,14.34,1.49,13.72,,
2015-01-05,1.96,5.42,0.84,6.45,15.37,22.31,7.7,67.79,0.05,80.84,2.8,2.44,0.78,0.6,14.61,1.67,14.28,168.10000610351562,0.0438
2015-01-06,2.24,6.1,0.89,6.63,15.99,22.39,8.67,69.47,0.02,80.9,2.9,2.37,0.76,0.68,13.72,1.67,14.61,174.89999389648438,0.0405
2015-01-07,2.43,6.48,0.88,6.67,16.17,22.13,9.72,69.73,0.0,80.97,2.97,2.12,0.78,0.72,12.41,1.59,15.0,175.0500030517578,0.0009
2015-01-08,2.38,6.35,0.83,6.55,16.27,22.09,10.57,69.5,0.0,80.99,2.91,2.24,0.54,0.7,11.52,1.52,15.22,176.89999389648438,0.0106
2015-01-09,2.08,5.66,0.91,6.39,15.81,21.93,9.68,68.99,0.0,80.99,2.83,2.43,0.62,0.62,12.25,1.68,14.75,180.0500030517578,0.0178
2015-01-10,1.9,5.05,0.83,6.3,15.38,20.87,9.52,78.74,0.78,80.95,2.77,2.37,0.82,0.56,11.35,1.63,14.59,,
2015-01-11,1.94,5.2,0.78,6.3,15.78,21.76,9.79,76.53,0.0,80.94,2.76,1.92,0.95,0.57,11.97,1.45,14.88,,
2015-01-12,1.95,5.33,0.85,6.04,16.39,21.89,10.05,75.4,0.0,80.94,2.61,2.4,0.8,0.59,11.84,1.7,15.81,176.75,-0.0183
2015-01-13,2.07,5.02,0.91,6.33,16.51,21.56,11.05,75.98,0.02,80.98,2.79,2.59,0.61,0.55,10.51,1.72,15.81,176.9499969482422,0.0011
2015-01-14,1.98,4.87,0.73,6.44,16.57,22.78,10.07,68.42,0.0,80.99,2.81,2.19,0.24,0.53,12.71,1.46,15.82,179.85000610351562,0.0164
2015-01-15,2.28,5.85,0.76,6.58,16.18,23.45,7.95,58.38,0.0,80.9,2.88,2.36,0.36,0.64,15.5,1.54,14.85,176.64999389648438,-0.0178
2015-01-16,2.12,5.56,0.84,6.63,15.72,23.23,7.18,53.72,0.0,80.89,2.94,2.63,0.42,0.61,16.05,1.65,14.38,171.0,-0.032
2015-01-17,2.28,6.1,0.91,6.68,16.42,23.83,9.49,61.47,0.0,80.85,2.93,2.32,1.17,0.66,14.34,1.74,15.23,,
2015-01-18,2.12,5.38,0.8,6.5,16.33,23.43,8.94,71.46,0.05,80.9,2.89,2.24,0.84,0.58,14.49,1.69,15.88,,
2015-01-19,2.24,5.52,0.85,6.58,16.92,22.45,12.56,72.25,0.16,80.86,2.95,2.56,0.58,0.6,9.89,1.67,16.41,171.0,0.0
2015-01-20,2.29,6.06,0.81,6.67,16.72,22.64,11.36,73.66,0.38,80.89,2.93,2.44,0.45,0.66,11.28,1.62,16.11,164.3000030517578,-0.0392
2015-01-21,2.18,5.44,0.76,6.65,17.64,23.31,11.48,68.21,0.0,81.04,2.95,1.96,0.79,0.59,11.83,1.4,16.85,161.25,-0.0186
2015-01-22,2.52,6.12,0.75,6.72,18.22,23.88,12.55,68.65,0.0,81.04,3.0,2.45,0.61,0.66,11.33,1.55,17.72,159.9499969482422,-0.0081
2015-01-23,2.06,5.24,0.67,6.63,18.67,24.78,10.83,61.96,0.0,80.87,2.94,2.06,0.18,0.56,13.95,1.28,17.71,162.4499969482422,0.0156
2015-01-24,2.08,5.32,0.58,6.52,18.27,24.19,13.29,60.01,0.0,80.79,2.88,2.03,0.1,0.57,10.9,1.01,17.07,,
2015-01-25,2.4,6.13,0.7,6.83,18.22,24.52,12.0,55.49,0.0,80.87,2.99,2.19,0.44,0.66,12.52,1.24,16.69,,
2015-01-26,2.62,6.5,0.76,7.13,17.98,25.27,10.77,46.15,0.0,80.92,3.12,2.49,0.86,0.69,14.5,1.31,15.89,161.85000610351562,-0.0037
2015-01-27,2.8,7.15,0.71,7.23,17.5,25.58,9.99,49.48,0.0,80.86,3.13,2.31,0.29,0.76,15.59,1.26,15.87,168.1999969482422,0.0392
2015-01-28,2.86,7.18,0.82,7.29,17.42,25.52,10.61,52.77,0.0,80.8,3.17,2.29,0.81,0.76,14.91,1.5,15.99,167.6999969482422,-0.003
2015-01-29,2.83,7.06,0.73,7.15,18.13,26.06,10.77,46.43,0.0,80.81,3.13,2.29,0.29,0.75,15.29,1.25,15.82,160.0,-0.0459
2015-01-30,2.81,6.95,0.74,7.15,18.43,26.39,12.12,40.9,0.0,80.92,3.1,2.72,0.16,0.73,14.27,1.3,15.75,161.89999389648438,0.0119
2015-01-31,2.89,7.14,0.73,7.18,18.52,26.73,11.88,44.07,0.0,80.95,3.15,2.52,0.18,0.75,14.85,1.26,16.19,,
2015-02-01,2.8,7.03,0.9,7.21,17.71,26.34,10.32,48.55,0.0,80.88,3.15,2.49,1.0,0.74,16.02,1.71,16.45,,
2015-02-02,2.91,7.31,0.82,7.34,18.74,27.32,9.08,39.0,0.0,80.82,3.19,2.39,0.66,0.77,18.24,1.49,16.74,162.4499969482422,0.0034
2015-02-03,2.65,6.89,0.81,7.16,19.05,27.48,10.79,35.69,0.0,80.89,3.11,2.41,0.34,0.72,16.69,1.4,16.66,160.75,-0.0105
2015-02-04,2.83,7.27,0.91,7.35,19.38,27.45,11.86,43.08,0.0,80.88,3.21,2.55,0.36,0.76,15.59,1.64,17.53,164.89999389648438,0.0258
2015-02-05,2.55,6.74,0.89,7.18,18.94,27.37,11.26,46.28,0.0,80.86,3.11,2.52,0.81,0.7,16.11,1.64,17.7,164.75,-0.0009
2015-02-06,2.52,6.52,0.77,6.94,19.53,27.91,11.25,47.77,0.0,80.88,3.0,2.69,0.34,0.68,16.66,1.43,18.21,166.85000610351562,0.0127
2015-02-07,2.61,6.59,0.87,7.08,20.13,28.28,12.46,49.48,0.01,80.86,3.06,2.51,0.78,0.68,15.82,1.54,19.12,,
2015-02-08,2.48,6.14,0.65,7.04,20.13,27.78,13.17,56.25,0.06,80.8,3.08,2.16,0.51,0.63,14.61,1.36,20.34,,
2015-02-09,2.56,6.3,0.62,7.1,19.98,26.81,14.54,62.86,0.38,80.78,3.11,2.03,0.29,0.65,12.27,1.27,20.09,167.60000610351562,0.0045
2015-02-10,2.62,6.29,0.52,7.18,19.86,27.91,14.38,55.78,0.03,80.82,3.16,2.32,0.12,0.65,13.53,1.11,19.7,159.39999389648438,-0.0489
2015-02-11,2.47,6.11,0.61,6.99,19.33,27.58,12.52,63.14,0.02,80.91,3.08,2.14,0.43,0.63,15.06,1.27,19.54,159.4499969482422,0.0003
2015-02-12,2.42,6.19,0.62,7.06,21.12,28.55,15.15,52.97,0.08,80.86,3.1,1.74,0.4,0.63,13.4,1.14,20.83,164.5500030517578,0.032
2015-02-13,2.67,6.47,0.68,7.24,20.03,27.28,12.26,55.87,0.04,80.82,3.23,2.11,0.53,0.66,15.02,1.42,20.3,163.1999969482422,-0.0082
2015-02-14,2.03,4.98,0.66,7.0,19.94,26.93,13.53,60.53,0.15,80.81,3.11,1.64,0.9,0.51,13.4,1.27,20.37,,
2015-02-15,1.57,3.75,0.5,6.58,16.87,20.71,13.86,79.84,4.72,80.9,2.86,1.53,0.39,0.38,6.85,1.12,17.12,,
2015-02-16,2.35,5.34,0.8,7.03,17.88,23.8,13.23,72.75,0.68,80.91,3.11,1.91,0.79,0.54,10.57,1.44,17.43,163.1999969482422,0.0
2015-02-17,2.19,5.0,0.63,7.22,18.25,24.22,13.61,73.22,5.3,80.93,3.21,1.96,0.11,0.51,10.61,1.35,18.34,155.64999389648438,-0.0463
2015-02-18,2.43,5.57,0.65,7.17,20.38,27.79,13.83,61.65,0.04,80.83,3.19,2.11,0.28,0.56,13.96,1.41,20.81,152.8000030517578,-0.0183
2015-02-19,2.31,5.21,0.61,7.25,20.5,28.36,13.35,57.42,0.03,80.73,3.26,1.92,0.37,0.53,15.01,1.34,21.07,149.1999969482422,-0.0236
2015-02-20,2.56,6.07,0.7,7.18,20.64,27.07,15.02,61.8,0.13,80.67,3.22,1.74,0.65,0.61,12.05,1.25,20.57,148.64999389648438,-0.0037
2015-02-21,2.16,5.35,0.49,6.9,22.36,28.27,16.32,52.25,0.06,80.67,3.05,1.31,0.32,0.54,11.95,0.79,21.94,,
2015-02-22,2.27,5.7,0.68,7.03,21.82,28.14,14.22,55.46,0.09,80.73,3.1,1.98,0.33,0.57,13.92,1.33,21.98,,
2015-02-23,2.42,5.9,0.59,7.22,21.62,28.33,15.54,59.41,0.13,80.79,3.15,1.65,0.73,0.59,12.79,1.25,22.44,144.4499969482422,-0.0283
2015-02-24,2.54,5.83,0.55,7.35,20.78,27.8,14.71,66.5,0.12,80.8,3.23,1.71,0.66,0.58,13.09,1.1,21.94,145.35000610351562,0.0062
2015-02-25,2.66,6.3,0.64,7.28,20.57,26.98,14.32,64.83,0.16,80.72,3.23,2.12,0.33,0.63,12.66,1.26,21.12,139.75,-0.0385
2015-02-26,2.32,5.73,0.78,6.96,21.45,28.15,13.32,55.68,0.09,80.7,3.05,2.93,0.23,0.57,14.83,1.47,21.47,136.5500030517578,-0.0229
2015-02-27,2.65,6.31,0.99,7.31,21.38,29.53,13.75,48.98,0.01,80.74,3.25,2.71,1.33,0.63,15.78,1.93,21.37,136.75,0.0015
2015-02-28,2.79,6.87,0.92,7.32,20.94,29.47,12.7,38.17,0.0,80.73,3.23,2.47,0.45,0.68,16.77,1.64,20.1,,
2015-03-01,2.31,5.6,0.71,7.21,21.48,29.86,14.17,38.04,0.0,80.74,3.19,2.29,0.53,0.55,15.69,1.23,20.58,,
2015-03-02,3.05,7.32,1.0,7.63,21.31,30.12,13.13,38.42,0.0,80.77,3.36,2.69,0.99,0.72,16.99,1.8,20.34,135.10000610351562,-0.0121
2015-03-03,2.91,7.5,0.86,7.68,20.96,30.39,13.91,33.63,0.0,80.8,3.32,2.98,0.07,0.74,16.48,1.67,20.05,126.25,-0.0655
2015-03-04,2.99,7.31,0.91,7.74,20.94,30.16,13.47,31.55,0.0,80.81,3.36,2.38,0.73,0.72,16.69,1.58,19.76,134.0500030517578,0.0618
2015-03-05,2.97,7.08,0.74,7.68,22.31,30.47,15.44,26.24,0.0,80.76,3.35,2.67,0.48,0.69,15.03,1.24,20.22,131.5500030517578,-0.0186
2015-03-06,2.92,7.14,0.82,7.73,21.5,30.24,12.5,34.63,0.0,80.87,3.39,2.63,0.18,0.7,17.74,1.52,20.86,136.5,0.0376
2015-03-07,3.0,7.15,0.89,7.85,21.88,30.29,14.87,34.05,0.0,80.83,3.45,2.83,0.66,0.7,15.42,1.65,21.12,,
2015-03-08,3.16,7.61,0.91,7.95,20.69,30.66,12.92,37.82,0.0,80.85,3.47,2.94,1.02,0.74,17.74,1.91,20.86,,
2015-03-09,3.24,7.78,0.86,7.93,21.58,31.18,12.23,31.53,0.0,80.82,3.47,2.77,0.83,0.76,18.95,1.53,20.89,133.64999389648438,-0.0209
2015-03-10,3.17,7.65,0.84,7.83,22.14,31.66,11.65,33.78,0.0,80.81,3.4,2.93,0.88,0.74,20.01,1.72,21.93,131.6999969482422,-0.0146
2015-03-11,2.76,6.79,0.59,7.65,23.2,31.28,15.86,33.7,0.01,80.81,3.34,1.67,0.4,0.66,15.42,0.95,22.61,128.39999389648438,-0.0251
2015-03-12,2.15,5.37,0.61,7.23,22.32,30.04,14.77,52.85,0.69,80.86,3.17,2.0,0.85,0.52,15.27,1.32,23.47,128.85000610351562,0.0035
2015-03-13,2.38,5.95,0.58,7.37,22.41,29.83,16.07,56.39,1.02,80.76,3.25,1.71,0.62,0.58,13.76,1.2,23.53,126.4499969482422,-0.0186
2015-03-14,2.85,7.0,0.91,7.67,22.41,31.06,15.29,50.16,0.04,80.77,3.41,2.44,1.09,0.68,15.77,1.9,23.46,,
2015-03-15,2.88,7.06,0.98,7.75,22.6,31.1,15.7,41.77,0.01,80.77,3.43,2.54,1.05,0.68,15.4,1.9,22.96,,
2015-03-16,3.01,7.36,0.92,7.9,23.78,31.82,15.75,39.24,0.0,80.74,3.49,2.35,0.71,0.71,16.07,1.6,23.55,134.89999389648438,0.0668
2015-03-17,2.64,6.1,0.65,7.68,23.44,30.09,17.69,47.77,0.1,80.73,3.43,1.91,0.65,0.59,12.4,1.22,24.14,133.9499969482422,-0.007
2015-03-18,2.69,6.18,0.66,7.65,22.65,29.69,16.87,56.61,0.44,80.72,3.43,1.97,0.62,0.6,12.82,1.31,23.96,136.25,0.0172
2015-03-19,2.39,5.16,0.7,7.62,19.2,23.07,16.37,74.34,4.58,80.78,3.39,2.15,0.62,0.5,6.7,1.36,19.95,140.0,0.0275
2015-03-20,2.32,5.23,0.58,7.54,18.92,24.1,16.08,77.77,7.83,80.81,3.39,2.07,0.5,0.5,8.02,1.18,19.37,143.35000610351562,0.0239
2015-03-21,2.71,6.04,0.53,7.51,19.68,25.42,15.82,78.18,8.59,80.81,3.37,1.87,0.71,0.58,9.6,1.05,20.4,,
2015-03-22,2.6,5.82,0.68,7.62,19.78,25.4,16.06,78.09,8.14,80.81,3.45,2.75,0.63,0.56,9.34,1.33,20.49,,
2015-03-23,2.51,5.65,0.58,7.64,20.09,27.53,13.57,73.24,4.52,80.76,3.46,2.22,0.59,0.54,13.96,1.26,20.99,141.85000610351562,-0.0105
2015-03-24,1.6,3.27,0.65,7.52,17.93,22.69,13.61,78.01,6.49,80.8,3.37,3.0,0.78,0.31,9.08,1.28,18.31,137.3000030517578,-0.0321
2015-03-25,2.23,5.06,0.57,7.31,19.29,24.05,14.92,72.68,1.99,80.84,3.27,1.61,0.38,0.48,9.13,1.1,19.34,139.9499969482422,0.0193
2015-03-26,2.63,5.77,0.55,7.53,19.94,25.79,15.22,69.81,0.67,80.88,3.39,1.71,0.22,0.55,10.57,1.05,20.0,140.25,0.0021
2015-03-27,3.13,7.26,0.58,7.76,21.6,27.65,15.07,62.41,0.26,80.81,3.51,2.22,0.19,0.69,12.58,1.15,22.22,138.1999969482422,-0.0146
2015-03-28,2.17,4.81,0.71,7.48,21.63,27.59,15.87,61.63,0.66,80.81,3.38,1.98,0.45,0.46,11.72,1.29,22.03,,
2015-03-29,2.75,6.54,0.63,7.49,21.53,28.41,15.64,64.0,0.32,80.76,3.36,2.35,0.57,0.63,12.77,1.28,22.21,138.1999969482422,0.0
2015-03-30,2.62,6.33,0.74,7.46,22.13,30.09,14.91,58.51,0.24,80.76,3.33,2.09,0.69,0.61,15.18,1.48,22.85,132.35000610351562,-0.0423
2015-03-31,2.46,5.97,0.65,7.42,21.69,29.25,15.41,63.79,0.76,80.82,3.3,1.71,0.67,0.57,13.84,1.25,22.61,132.89999389648438,0.0042
2015-04-01,2.95,7.02,0.69,7.69,21.78,30.71,14.93,62.01,0.58,80.79,3.47,2.02,0.68,0.67,15.78,1.38,22.6,134.85000610351562,0.0147
2015-04-02,2.85,7.14,0.68,7.68,22.25,30.99,14.47,57.89,0.04,80.73,3.42,1.89,0.34,0.68,16.52,1.28,22.82,140.89999389648438,0.0449
2015-04-03,2.36,5.7,0.84,7.55,21.95,30.71,14.5,50.92,0.34,80.62,3.39,2.23,0.68,0.54,16.21,1.56,22.75,,
2015-04-04,2.08,4.7,0.69,7.43,21.88,30.21,15.93,61.58,0.95,80.62,3.33,2.33,0.34,0.45,14.28,1.27,22.87,,
2015-04-05,2.71,6.39,0.55,7.41,21.68,30.64,15.99,63.01,0.75,80.7,3.32,1.67,0.38,0.61,14.65,1.13,22.82,140.89999389648438,0.0
2015-04-06,2.47,6.01,0.58,7.21,22.0,31.05,15.06,64.15,1.97,80.74,3.17,1.91,0.25,0.57,15.99,1.13,23.43,146.1999969482422,0.0376
2015-04-07,2.55,5.72,0.53,7.38,21.75,30.11,15.34,66.04,4.79,80.76,3.32,1.7,0.1,0.55,14.77,1.08,22.99,141.9499969482422,-0.0291
2015-04-08,3.08,7.22,0.96,7.58,21.98,30.73,16.3,64.92,1.03,80.73,3.39,3.52,0.71,0.69,14.43,1.8,23.32,135.6999969482422,-0.044
2015-04-09,2.2,5.1,0.62,7.37,20.81,27.18,15.66,67.99,3.21,80.79,3.29,1.96,0.16,0.49,11.52,1.13,21.48,137.4499969482422,0.0129
2015-04-10,2.85,6.6,0.52,7.71,21.45,28.16,15.46,65.73,1.19,80.83,3.48,1.54,0.59,0.63,12.7,1.04,22.23,135.10000610351562,-0.0171
2015-04-11,2.45,5.59,0.59,7.61,22.54,29.56,16.94,56.66,0.42,80.86,3.42,1.71,0.2,0.53,12.62,1.06,23.38,,
