Date,ALLSKY_SFC_UV_INDEX,ALLSKY_SFC_SW_DWN,WS2M,CLRSKY_SFC_SW_DWN,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,PS,CLRSKY_SFC_PAR_TOT,WS10M_MAX,WS10M_MIN,ALLSKY_KT,T2M_RANGE,WS10M,TS,Coffee_Price,Coffee_Return
2015-01-01,2.55,7.13,1.56,7.19,12.89,21.71,5.22,53.59,0.0,76.78,3.07,4.0,0.73,0.78,16.49,2.77,12.83,161.0500030517578,0.0
2015-01-02,2.57,7.23,1.75,7.25,12.42,22.07,3.54,48.18,0.0,76.81,3.1,5.0,1.15,0.79,18.53,3.06,11.96,161.0500030517578,0.0
2015-01-03,2.62,7.23,1.58,7.26,12.6,21.15,3.73,43.95,0.0,76.82,3.1,4.12,0.87,0.79,17.42,2.69,11.54,,
2015-01-04,2.52,7.02,1.38,7.06,12.98,20.36,6.0,48.35,0.0,76.81,3.05,3.05,0.38,0.77,14.36,2.17,11.4,,
2015-01-05,2.58,6.85,1.26,7.02,13.76,20.64,6.85,52.91,0.0,76.74,3.06,2.43,0.86,0.75,13.79,1.93,12.51,168.10000610351562,0.0438
2015-01-06,2.51,6.63,1.29,6.92,14.95,21.17,8.7,58.89,0.0,76.79,3.03,3.05,0.46,0.72,12.47,1.97,14.28,174.89999389648438,0.0405
2015-01-07,2.6,6.83,1.36,6.91,15.05,21.43,8.3,64.68,0.0,76.85,3.02,2.83,0.62,0.75,13.13,2.18,15.16,175.0500030517578,0.0009
2015-01-08,2.63,6.89,1.22,7.0,14.52,21.87,8.3,63.42,0.0,76.86,3.09,3.03,0.65,0.75,13.57,2.07,14.72,176.89999389648438,0.0106
2015-01-09,2.56,6.68,1.41,7.0,14.06,21.42,6.34,60.02,0.0,76.85,3.1,3.49,0.59,0.73,15.08,2.33,14.15,180.0500030517578,0.0178
2015-01-10,2.45,6.43,1.25,7.03,14.22,20.49,8.1,62.42,0.0,76.82,3.1,2.63,0.54,0.7,12.39,1.99,14.14,,
2015-01-11,2.48,6.45,0.85,6.98,15.38,21.57,9.39,64.68,0.0,76.83,3.08,1.98,0.41,0.7,12.18,1.36,15.9,,
2015-01-12,2.38,5.88,1.06,6.96,15.27,20.98,9.7,70.76,0.0,76.82,3.06,3.36,0.61,0.64,11.28,1.72,16.14,176.75,-0.0183
2015-01-13,2.43,5.93,1.16,7.03,14.84,21.19,8.85,72.55,0.01,76.85,3.1,3.14,1.24,0.64,12.34,1.95,15.92,176.9499969482422,0.0011
2015-01-14,2.52,6.51,1.46,7.08,14.45,22.32,7.48,61.01,0.0,76.86,3.06,4.19,1.23,0.7,14.84,2.38,15.11,179.85000610351562,0.0164
2015-01-15,2.77,7.04,1.55,7.16,13.9,22.48,6.0,53.99,0.0,76.76,3.11,3.53,0.97,0.76,16.48,2.63,14.11,176.64999389648438,-0.0178
2015-01-16,2.69,7.09,1.47,7.14,13.57,22.09,6.02,49.49,0.0,76.77,3.14,3.57,0.98,0.76,16.07,2.53,13.68,171.0,-0.032
2015-01-17,2.73,7.03,1.24,7.16,14.33,22.34,6.55,51.94,0.0,76.74,3.13,3.16,0.88,0.75,15.79,2.09,13.95,,
2015-01-18,2.8,6.98,1.39,7.16,15.31,22.0,9.14,54.47,0.44,76.79,3.13,3.36,0.42,0.75,12.86,2.08,14.67,,
