Date,ALLSKY_SFC_UV_INDEX,ALLSKY_SFC_SW_DWN,WS2M,CLRSKY_SFC_SW_DWN,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,PS,CLRSKY_SFC_PAR_TOT,WS10M_MAX,WS10M_MIN,ALLSKY_KT,T2M_RANGE,WS10M,TS,Coffee_Price,Coffee_Return
2015-01-01,2.55,7.13,1.0,7.19,17.08,25.46,10.4,50.83,0.0,81.71,3.07,2.99,0.54,0.78,15.06,1.93,17.0,161.0500030517578,0.0
2015-01-02,2.57,7.23,1.13,7.25,16.21,26.32,7.01,45.32,0.0,81.72,3.1,3.38,0.8,0.79,19.31,2.25,16.38,161.0500030517578,0.0
2015-01-03,2.62,7.23,1.2,7.26,16.81,25.37,7.79,40.59,0.0,81.75,3.1,3.04,0.89,0.79,17.58,2.14,16.18,,
2015-01-04,2.52,7.02,1.2,7.06,17.48,25.27,10.9,43.34,0.0,81.73,3.05,2.86,0.3,0.77,14.37,1.96,16.41,,
2015-01-05,2.58,6.85,1.05,7.02,17.81,26.0,9.24,50.37,0.0,81.62,3.06,2.78,0.27,0.75,16.76,1.86,17.59,168.10000610351562,0.0438
2015-01-06,2.51,6.63,1.01,6.92,19.01,26.49,12.29,52.51,0.0,81.68,3.03,2.34,1.24,0.72,14.2,1.73,18.84,174.89999389648438,0.0405
2015-01-07,2.6,6.83,1.02,6.91,18.8,26.83,10.32,52.36,0.0,81.75,3.02,3.54,0.5,0.75,16.51,1.85,19.19,175.0500030517578,0.0009
2015-01-08,2.63,6.89,1.09,7.0,18.95,26.89,10.82,56.74,0.0,81.77,3.09,3.26,0.95,0.75,16.07,1.9,19.76,176.89999389648438,0.0106
2015-01-09,2.56,6.68,1.03,7.0,19.44,26.51,13.07,50.94,0.0,81.77,3.1,3.63,0.36,0.73,13.44,1.74,20.22,180.0500030517578,0.0178
2015-01-10,2.45,6.43,0.88,7.03,19.72,26.71,12.47,47.6,0.0,81.72,3.1,2.51,0.14,0.7,14.24,1.45,19.99,,
2015-01-11,2.48,6.45,1.0,6.98,18.95,26.86,10.66,50.25,0.0,81.71,3.08,2.46,0.61,0.7,16.2,1.73,19.18,,
2015-01-12,2.38,5.88,1.23,6.96,18.78,26.9,11.33,55.42,0.0,81.72,3.06,4.4,0.98,0.64,15.57,2.27,19.98,176.75,-0.0183
2015-01-13,2.43,5.93,1.38,7.03,19.0,26.55,13.16,56.92,0.0,81.77,3.1,3.73,1.61,0.64,13.39,2.39,20.3,176.9499969482422,0.0011
2015-01-14,2.52,6.51,1.14,7.08,19.54,27.53,12.96,44.24,0.0,81.78,3.06,4.1,0.6,0.7,14.57,1.98,20.59,179.85000610351562,0.0164
2015-01-15,2.77,7.04,1.08,7.16,19.52,27.45,11.72,45.82,0.0,81.67,3.11,2.73,0.4,0.76,15.73,1.89,20.41,176.64999389648438,-0.0178
2015-01-16,2.69,7.09,1.16,7.14,19.13,27.2,12.35,44.61,0.0,81.67,3.14,3.11,0.82,0.76,14.85,2.08,20.11,171.0,-0.032
2015-01-17,2.73,7.03,1.1,7.16,19.5,27.87,12.72,43.05,0.0,81.63,3.13,2.5,1.16,0.75,15.15,1.78,19.45,,
2015-01-18,2.8,6.98,1.24,7.16,19.04,27.92,10.16,42.98,0.01,81.68,3.13,2.96,0.91,0.75,17.76,2.18,19.37,,
2015-01-19,2.65,6.49,1.17,7.1,19.81,28.23,11.68,46.03,0.06,81.64,3.12,2.4,1.0,0.69,16.55,1.99,20.12,171.0,0.0
2015-01-20,2.51,6.46,1.26,7.05,19.61,28.12,11.98,48.04,0.04,81.68,3.1,3.08,1.66,0.69,16.14,2.35,20.8,164.3000030517578,-0.0392
2015-01-21,2.4,5.95,1.22,7.08,19.31,27.09,11.94,55.68,0.0,81.82,3.1,4.7,0.69,0.63,15.15,2.26,20.63,161.25,-0.0186
2015-01-22,2.76,6.53,1.69,7.04,20.2,27.82,13.64,53.61,0.0,81.85,3.09,5.53,1.65,0.69,14.18,2.81,21.7,159.9499969482422,-0.0081
2015-01-23,2.45,6.1,1.59,6.98,20.96,28.54,14.17,51.15,0.0,81.67,3.06,5.37,0.48,0.65,14.37,2.6,22.56,162.4499969482422,0.0156
2015-01-24,2.39,6.03,1.68,7.21,20.18,27.64,14.15,49.85,0.0,81.61,3.13,5.76,0.47,0.64,13.49,2.73,21.82,,
2015-01-25,2.94,7.18,1.58,7.43,19.13,28.36,12.44,39.67,0.0,81.67,3.21,5.32,0.75,0.76,15.92,2.74,20.73,,
2015-01-26,2.96,7.47,1.59,7.53,18.02,27.92,9.55,41.81,0.0,81.74,3.25,4.64,2.08,0.79,18.37,2.9,19.33,161.85000610351562,-0.0037
2015-01-27,3.03,7.61,1.07,7.64,18.93,29.55,9.63,38.87,0.0,81.65,3.26,3.9,0.21,0.8,19.92,2.07,20.29,168.1999969482422,0.0392
2015-01-28,3.06,7.56,1.21,7.59,18.75,28.25,9.33,37.06,0.0,81.61,3.27,4.19,0.41,0.79,18.92,2.22,19.64,167.6999969482422,-0.003
2015-01-29,3.06,7.48,1.22,7.5,19.24,29.58,10.2,38.85,0.0,81.6,3.23,4.67,0.22,0.78,19.38,2.3,20.55,160.0,-0.0459
2015-01-30,2.97,7.34,1.23,7.43,19.54,30.05,10.19,39.18,0.0,81.71,3.23,4.17,0.34,0.77,19.86,2.34,21.12,161.89999389648438,0.0119
2015-01-31,2.98,7.27,1.5,7.43,20.63,30.7,11.2,37.19,0.0,81.72,3.23,5.93,0.83,0.76,19.5,2.65,21.96,,
2015-02-01,3.03,7.32,1.4,7.51,20.9,30.32,13.14,35.62,0.02,81.66,3.28,5.62,0.65,0.76,17.18,2.55,22.55,,
2015-02-02,3.06,7.48,1.31,7.55,21.17,31.21,12.61,32.42,0.0,81.61,3.3,4.77,0.31,0.78,18.6,2.4,22.92,162.4499969482422,0.0034
2015-02-03,3.07,7.4,1.48,7.56,21.25,30.96,12.39,35.94,0.4,81.67,3.29,5.93,0.13,0.77,18.57,2.62,22.96,160.75,-0.0105
2015-02-04,2.94,7.28,2.09,7.56,21.29,30.68,13.93,39.83,0.04,81.69,3.29,6.45,2.14,0.75,16.75,3.5,23.0,164.89999389648438,0.0258
2015-02-05,2.85,7.3,1.77,7.55,21.26,30.65,13.06,39.5,0.0,81.66,3.26,5.99,1.4,0.75,17.59,3.06,23.04,164.75,-0.0009
