YEAR,MO,DY,ALLSKY_SFC_UV_INDEX,ALLSKY_SFC_SW_DWN,WS2M,CLRSKY_SFC_SW_DWN,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,PS,CLRSKY_SFC_PAR_TOT,WS10M_MAX,WS10M_MIN,ALLSKY_KT,T2M_RANGE,WS10M,TS,WSC
2015,1,1,3.4,7.77,0.97,8.67,24.11,29.89,18.02,73.38,0.46,89.45,4.01,3.69,1.31,0.66,11.87,2.21,24.29,1.6
2015,1,2,2.93,6.75,1.05,8.68,24.56,30.2,19.79,73.64,0.7,89.42,3.98,3.54,0.94,0.57,10.41,2.24,24.37,1.76
2015,1,3,2.82,6.38,0.64,8.46,24.71,32.89,18.78,72.04,7.51,89.48,3.86,1.84,0.63,0.54,14.11,1.29,25.39,0.98
2015,1,4,2.38,5.38,0.72,8.53,22.62,27.35,19.41,80.43,3.01,89.61,3.93,2.23,1.0,0.46,7.94,1.57,22.92,1.35
2015,1,5,1.74,3.84,1.11,8.39,21.65,27.61,18.17,82.96,8.54,89.65,3.84,3.14,1.45,0.33,9.44,2.24,22.05,1.76
2015,1,6,2.21,4.85,0.93,8.36,21.49,27.53,17.9,80.07,3.91,89.74,3.83,3.13,0.75,0.41,9.63,2.05,21.85,1.65
2015,1,7,3.21,7.41,0.54,8.64,22.37,29.13,17.03,74.8,1.02,89.67,3.97,2.32,0.13,0.63,12.1,1.14,22.78,0.81
2015,1,8,3.28,8.27,0.61,8.72,24.42,31.96,16.96,63.67,0.02,89.59,3.98,1.98,0.65,0.7,15.0,1.26,24.63,0.89
2015,1,9,3.43,8.5,0.67,8.81,24.45,33.12,15.44,60.82,0.0,89.57,4.01,3.02,0.79,0.72,17.68,1.59,25.06,1.26
2015,1,10,3.29,8.03,0.53,8.74,25.64,34.43,18.65,62.99,0.15,89.53,4.0,1.98,0.04,0.68,15.78,1.14,26.1,0.94
2015,1,11,3.19,8.13,0.88,8.74,25.42,34.82,17.38,55.65,1.81,89.55,3.99,2.77,1.03,0.69,17.44,1.88,25.72,1.49
2015,1,12,3.32,8.07,0.59,8.71,25.65,35.42,17.41,61.78,1.51,89.54,3.99,2.52,0.63,0.69,18.01,1.39,26.43,1.12
2015,1,13,3.36,8.2,0.82,8.66,25.64,33.82,19.31,60.65,0.91,89.49,3.96,2.4,0.65,0.7,14.51,1.69,26.16,1.4
2015,1,14,2.59,6.15,0.84,8.64,25.48,33.01,19.15,63.4,1.56,89.53,3.94,2.18,1.36,0.52,13.86,1.7,26.11,1.35
2015,1,15,3.15,7.48,0.95,8.57,25.34,33.8,18.51,61.3,0.15,89.57,3.9,3.19,0.64,0.64,15.29,1.94,26.12,1.63
2015,1,16,3.0,7.73,1.24,8.45,24.95,33.52,17.94,62.81,0.0,89.61,3.81,3.68,1.68,0.66,15.58,2.46,25.92,1.9
2015,1,17,3.31,8.34,0.71,8.72,25.51,35.85,17.15,58.77,0.0,89.5,3.94,2.38,0.08,0.71,18.7,1.55,26.57,1.36
2015,1,18,3.41,8.59,0.87,8.79,25.89,36.04,17.13,51.8,0.0,89.48,3.96,3.03,0.89,0.74,18.91,1.87,26.83,1.59
2015,1,19,3.41,8.66,1.13,8.83,25.89,36.69,16.93,51.71,0.0,89.48,3.94,3.56,1.54,0.74,19.76,2.39,26.86,2.01
2015,1,20,3.35,8.05,0.76,8.62,25.3,35.86,16.38,56.66,0.68,89.36,3.92,2.71,0.17,0.69,19.48,1.69,26.2,1.46
2015,1,21,2.99,6.36,0.76,8.55,25.26,34.79,16.9,58.58,2.03,89.33,3.91,2.98,0.41,0.55,17.89,1.74,26.2,1.49
2015,1,22,2.27,4.79,0.75,8.25,22.11,26.47,19.04,80.5,11.32,89.44,3.79,2.25,0.43,0.41,7.43,1.41,22.32,1.09
2015,1,23,1.74,3.75,0.98,8.3,20.22,24.01,17.39,84.13,10.14,89.56,3.78,2.92,0.58,0.32,6.62,2.06,20.34,1.74
2015,1,24,2.37,5.53,0.98,8.25,19.85,25.59,16.29,80.99,7.58,89.52,3.76,2.96,1.31,0.48,9.3,2.12,20.09,1.7
2015,1,25,2.88,6.79,0.83,8.4,21.02,27.86,14.65,78.56,9.2,89.48,3.83,3.06,0.97,0.59,13.21,1.82,21.61,1.36
2015,1,26,1.92,4.07,0.62,8.18,21.87,26.81,16.98,78.89,9.44,89.5,3.74,2.31,0.55,0.35,9.83,1.28,22.13,0.94
2015,1,27,2.64,5.86,0.53,8.19,22.36,27.97,18.06,75.08,3.36,89.55,3.76,1.64,0.47,0.51,9.91,1.0,22.49,0.67
2015,1,28,2.73,5.88,0.62,8.26,20.63,23.36,18.51,85.36,0.41,89.54,3.81,2.36,0.09,0.51,4.85,1.29,20.52,0.91
