YEAR,MO,DY,ALLSKY_SFC_UV_INDEX,ALLSKY_SFC_SW_DWN,WS2M,CLRSKY_SFC_SW_DWN,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,PS,CLRSKY_SFC_PAR_TOT,WS10M_MAX,WS10M_MIN,ALLSKY_KT,T2M_RANGE,WS10M,TS
2015,1,1,3.47,8.12,1.81,8.6,25.08,29.79,20.47,75.0,0.19,91.62,3.98,4.32,2.02,0.69,9.32,2.85,25.35
2015,1,2,3.23,7.59,1.84,8.61,25.16,30.03,21.44,78.66,0.3,91.6,3.96,4.82,0.44,0.65,8.59,2.77,25.27
2015,1,3,2.87,6.72,1.01,8.33,25.86,31.82,20.49,72.98,7.44,91.67,3.83,2.33,1.06,0.57,11.33,1.52,27.0
2015,1,4,2.73,6.38,1.58,8.44,23.68,27.46,20.82,80.2,1.79,91.8,3.89,3.47,1.51,0.54,6.64,2.32,24.42
2015,1,5,2.44,5.83,1.99,8.3,22.72,26.86,19.82,82.2,4.99,91.85,3.81,5.63,0.51,0.5,7.04,2.85,23.49
2015,1,6,2.41,5.25,1.67,8.28,22.78,27.19,19.69,80.58,2.44,91.94,3.81,4.69,1.1,0.45,7.5,2.45,23.58
2015,1,7,3.24,7.69,1.67,8.53,23.87,29.09,18.84,74.67,0.54,91.86,3.95,4.39,0.66,0.65,10.25,2.34,24.99
2015,1,8,3.26,8.52,1.24,8.63,25.19,31.22,18.35,67.94,0.01,91.79,3.95,2.64,0.71,0.73,12.87,1.84,26.47
2015,1,9,3.37,8.59,1.85,8.74,25.08,31.97,18.11,63.61,0.0,91.77,3.98,4.32,1.7,0.73,13.86,2.8,26.35
2015,1,10,3.36,8.5,1.46,8.66,26.1,32.7,19.74,66.92,0.18,91.73,3.97,3.62,0.31,0.73,12.96,2.18,27.41
2015,1,11,3.2,8.45,1.68,8.72,26.83,34.57,18.05,56.02,0.4,91.72,3.96,4.98,0.63,0.72,16.52,2.48,27.63
2015,1,12,3.38,8.52,1.62,8.66,26.63,35.15,18.09,60.03,0.64,91.72,3.97,4.36,1.29,0.73,17.06,2.39,28.41
2015,1,13,3.4,8.29,1.52,8.58,27.54,34.83,20.7,59.56,0.22,91.64,3.94,3.92,0.45,0.71,14.13,2.21,29.19
2015,1,14,3.16,7.63,1.69,8.55,27.24,33.75,21.33,60.06,0.93,91.69,3.92,3.51,0.57,0.65,12.42,2.42,28.95
2015,1,15,3.25,8.13,2.03,8.48,27.28,34.64,20.4,58.64,0.1,91.72,3.88,4.44,0.33,0.7,14.24,2.9,29.13
2015,1,16,3.02,7.85,2.05,8.4,27.05,34.6,19.55,59.28,0.0,91.76,3.79,4.8,2.1,0.67,15.05,2.92,28.96
2015,1,17,3.35,8.54,1.4,8.64,27.39,35.04,19.63,54.29,0.0,91.68,3.92,3.83,0.32,0.73,15.41,2.06,29.21
2015,1,18,3.4,8.61,1.64,8.68,27.86,36.04,19.11,49.5,0.0,91.64,3.94,4.54,0.27,0.74,16.93,2.41,29.48
2015,1,19,3.82,8.13,1.82,8.61,27.84,36.74,18.85,48.22,0.0,91.64,3.95,4.71,0.56,0.7,17.89,2.63,29.52
