YEAR,MO,DY,ALLSKY_SFC_UV_INDEX,ALLSKY_SFC_SW_DWN,WS2M,CLRSKY_SFC_SW_DWN,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,PS,CLRSKY_SFC_PAR_TOT,WS10M_MAX,WS10M_MIN,ALLSKY_KT,T2M_RANGE,WS10M,TS
2015,1,1,2.79,5.57,0.76,7.08,14.82,19.66,11.19,85.44,0.04,77.72,3.22,3.01,1.17,0.6,8.47,1.8,14.89
2015,1,2,2.93,6.18,1.07,7.04,14.36,19.43,10.38,83.27,0.0,77.75,3.18,4.15,1.36,0.66,9.05,2.51,14.68
2015,1,3,3.1,6.93,0.97,7.14,14.76,19.79,10.81,83.02,0.05,77.76,3.22,4.03,1.08,0.74,8.98,2.34,15.09
2015,1,4,2.94,6.61,0.93,7.04,14.67,19.75,10.16,82.78,0.17,77.82,3.2,3.89,0.95,0.7,9.59,2.17,14.93
2015,1,5,2.77,5.88,0.79,7.07,14.55,19.75,9.83,81.9,0.26,77.83,3.17,2.97,1.04,0.63,9.92,1.82,14.87
2015,1,6,3.04,7.09,0.95,7.3,13.94,19.23,10.2,77.35,0.06,77.77,3.24,3.87,1.31,0.75,9.03,2.26,14.12
2015,1,7,2.97,6.76,1.01,7.21,12.88,19.06,7.4,76.73,0.0,77.65,3.25,4.07,1.28,0.72,11.66,2.34,12.85
2015,1,8,2.21,4.52,0.9,6.66,13.52,19.04,8.14,85.06,0.01,77.67,3.01,3.52,1.01,0.48,10.9,2.07,13.63
2015,1,9,2.22,4.27,0.92,6.71,14.76,19.91,10.43,84.58,0.0,77.71,3.06,3.54,1.23,0.45,9.48,2.16,15.08
2015,1,10,2.66,5.71,0.79,6.89,15.06,20.34,10.6,81.71,0.44,77.81,3.13,2.87,1.21,0.6,9.74,1.91,15.33
2015,1,11,2.51,5.08,0.78,6.94,15.81,20.66,12.41,85.07,0.33,77.77,3.18,3.18,1.23,0.54,8.25,1.89,16.03
2015,1,12,2.68,5.61,0.77,6.89,15.77,20.71,12.25,83.36,0.06,77.75,3.14,3.22,1.17,0.59,8.46,1.86,16.03
2015,1,13,2.65,5.18,0.55,6.95,15.69,21.35,11.17,83.67,0.09,77.73,3.17,2.21,0.43,0.55,10.18,1.28,16.07
2015,1,14,2.41,4.77,0.66,6.89,15.26,19.92,11.82,88.78,2.67,77.72,3.15,2.45,0.87,0.5,8.1,1.55,15.42
2015,1,15,2.39,4.38,0.63,6.86,14.76,19.68,12.24,87.8,3.89,77.8,3.16,2.5,0.9,0.46,7.44,1.47,14.84
2015,1,16,2.47,4.38,0.58,6.88,14.91,19.79,11.46,90.05,3.84,77.82,3.15,2.1,0.61,0.46,8.33,1.33,14.95
2015,1,17,2.08,3.34,0.5,6.97,14.92,18.86,11.71,89.49,12.12,77.8,3.2,1.91,0.49,0.35,7.15,1.12,14.98
2015,1,18,2.28,4.32,0.39,6.86,15.16,18.95,12.79,88.72,3.26,77.82,3.14,1.21,0.62,0.45,6.16,0.85,15.15
2015,1,19,2.3,4.03,0.52,6.97,14.65,18.83,12.34,90.97,5.01,77.74,3.19,1.75,0.41,0.42,6.49,1.09,14.67
2015,1,20,2.19,3.81,0.3,6.77,14.62,18.62,12.27,89.52,4.68,77.68,3.13,1.26,0.16,0.4,6.35,0.72,14.71
2015,1,21,2.24,3.76,0.31,6.95,14.9,19.27,12.57,90.67,6.58,77.71,3.19,1.05,0.21,0.39,6.7,0.73,15.05
2015,1,22,1.53,2.5,0.61,6.95,14.48,18.37,11.83,91.74,6.62,77.81,3.2,2.02,0.81,0.26,6.54,1.39,14.63
2015,1,23,2.14,3.94,0.47,6.87,14.51,19.16,11.74,90.43,6.87,77.76,3.14,1.9,0.43,0.41,7.42,1.02,14.76
