YEAR,MO,DY,ALLSKY_SFC_UV_INDEX,ALLSKY_SFC_SW_DWN,WS2M,CLRSKY_SFC_SW_DWN,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,PS,CLRSKY_SFC_PAR_TOT,WS10M_MAX,WS10M_MIN,ALLSKY_KT,T2M_RANGE,WS10M,TS
2015,1,1,2.79,5.57,0.28,7.08,15.37,20.59,11.76,86.61,0.1,78.88,3.22,1.61,0.68,0.6,8.83,1.24,15.33
2015,1,2,2.93,6.18,0.46,7.04,15.16,20.45,11.23,81.29,0.03,78.89,3.18,2.66,1.1,0.66,9.22,1.85,15.25
2015,1,3,3.1,6.93,0.41,7.14,15.32,20.83,10.83,80.73,0.23,78.91,3.22,2.56,0.88,0.74,10.0,1.74,15.45
2015,1,4,2.94,6.61,0.38,7.04,15.54,20.9,10.87,81.07,0.65,78.96,3.2,2.61,0.82,0.7,10.03,1.57,15.63
2015,1,5,2.77,5.88,0.33,7.07,15.62,20.99,11.28,80.98,1.04,78.97,3.17,1.89,0.81,0.63,9.71,1.37,15.78
2015,1,6,3.04,7.09,0.43,7.3,14.82,20.07,11.06,76.18,0.27,78.91,3.24,2.6,1.0,0.75,9.01,1.68,14.82
2015,1,7,2.97,6.76,0.49,7.21,13.91,20.15,8.24,75.66,0.01,78.79,3.25,2.66,0.86,0.72,11.91,1.69,13.65
2015,1,8,2.21,4.52,0.38,6.66,14.69,20.84,8.71,80.67,0.01,78.81,3.01,1.8,0.45,0.48,12.13,1.35,14.41
2015,1,9,2.22,4.27,0.24,6.71,15.99,21.26,11.72,83.69,0.0,78.85,3.06,1.87,0.62,0.45,9.54,1.27,16.23
2015,1,10,2.66,5.71,0.2,6.89,16.06,20.88,12.31,81.97,0.59,78.96,3.13,1.56,0.63,0.6,8.57,1.14,16.2
2015,1,11,2.51,5.08,0.22,6.94,16.69,21.73,12.85,84.31,0.39,78.92,3.18,1.81,0.37,0.54,8.88,1.14,16.92
2015,1,12,2.68,5.61,0.3,6.89,16.95,21.86,13.38,82.0,0.28,78.89,3.14,1.99,0.57,0.59,8.48,1.22,17.05
2015,1,13,2.65,5.18,0.35,6.95,16.68,22.22,12.49,83.67,0.3,78.88,3.17,1.25,0.47,0.55,9.73,0.97,16.8
2015,1,14,2.41,4.77,0.2,6.89,16.61,21.4,13.56,88.26,2.82,78.87,3.15,1.23,0.37,0.5,7.84,0.82,16.76
2015,1,15,2.39,4.38,0.38,6.86,15.81,20.6,13.03,89.65,3.87,78.94,3.16,1.91,0.57,0.46,7.57,1.15,15.75
2015,1,16,2.47,4.38,0.35,6.88,15.61,20.46,12.13,90.04,3.29,78.98,3.15,1.42,0.25,0.46,8.33,0.88,15.34
2015,1,17,2.08,3.34,0.3,6.97,15.62,19.23,12.33,90.1,12.37,78.96,3.2,1.22,0.4,0.35,6.9,0.81,15.55
2015,1,18,2.28,4.32,0.28,6.86,16.21,20.61,13.32,87.15,2.4,79.0,3.14,0.95,0.17,0.45,7.29,0.67,16.26
2015,1,19,2.3,4.03,0.34,6.97,15.3,18.94,13.41,91.61,4.64,78.92,3.19,1.29,0.13,0.42,5.53,0.92,15.2
2015,1,20,2.19,3.81,0.28,6.77,15.46,19.83,12.83,88.66,4.88,78.85,3.13,1.07,0.2,0.4,7.0,0.61,15.39
2015,1,21,2.24,3.76,0.24,6.95,15.54,19.01,13.34,91.13,8.54,78.88,3.19,0.86,0.08,0.39,5.67,0.47,15.58
2015,1,22,1.53,2.5,0.3,6.95,15.38,19.58,12.7,90.97,7.76,78.97,3.2,1.24,0.32,0.26,6.88,0.94,15.44
2015,1,23,2.14,3.94,0.28,6.87,15.02,20.0,11.93,89.75,6.3,78.95,3.14,1.58,0.09,0.41,8.07,0.85,15.2
2015,1,24,2.13,4.04,0.37,6.83,15.71,20.27,12.87,87.47,7.13,78.91,3.12,1.19,0.2,0.42,7.4,0.85,15.51
